ranking,State-CAP,State,Abbreviation,crime_rank,black_fri_interest
5,ALABAMA,Alabama,AL,8,26
20,ALASKA,Alaska,AK,1,50
9,ARIZONA,Arizona,AZ,9,7
1,ARKANSAS,Arkansas,AR,6,15
7,CALIFORNIA,California,CA,15,39
24,COLORADO,Colorado,CO,23,35
16,CONNECTICUT,Connecticut,CT,44,27
14,DELAWARE,Delaware,DE,13,9
22,FLORIDA,Florida,FL,20,30
21,GEORGIA,Georgia,GA,26,31
34,HAWAII,Hawaii,HI,38,46
27,IDAHO,Idaho,ID,45,3
10,ILLINOIS,Illinois,IL,17,22
26,INDIANA,Indiana,IN,21,23
23,IOWA,Iowa,IA,34,5
25,KANSAS,Kansas,KS,19,19
30,KENTUCKY,Kentucky,KY,46,10
29,LOUISIANA,Louisiana,LA,4,37
36,MAINE,Maine,ME,50,16
32,MARYLAND,Maryland,MD,11,44
41,MASSACHUSETTS,Massachusetts,MA,25,47
13,MICHIGAN,Michigan,MI,14,17
31,MINNESOTA,Minnesota,MN,40,8
44,MISSISSIPPI,Mississippi,MS,35,40
8,MISSOURI,Missouri,MO,7,18
35,MONTANA,Montana,MT,22,28
33,NEBRASKA,Nebraska,NE,31,11
6,NEVADA,Nevada,NV,5,41
42,NEW HAMPSHIRE,New Hampshire,NH,48,13
15,NEW JERSEY,New Jersey,NJ,43,32
38,NEW MEXICO,New Mexico,NM,2,48
18,NEW YORK,New York,NY,27,45
4,NORTH CAROLINA,North Carolina,NC,24,21
37,NORTH DAKOTA,North Dakota,ND,37,4
39,OHIO,Ohio,OH,33,12
40,OKLAHOMA,Oklahoma,OK,12,33
49,OREGON,Oregon,OR,36,43
47,PENNSYLVANIA,Pennsylvania,PA,30,24
48,RHODE ISLAND,Rhode Island,RI,42,29
11,SOUTH CAROLINA,South Carolina,SC,10,36
43,SOUTH DAKOTA,South Dakota,SD,18,20
2,TENNESSEE,Tennessee,TN,3,14
17,TEXAS,Texas,TX,16,42
45,UTAH,Utah,UT,39,2
50,VERMONT,Vermont,VT,49,49
28,VIRGINIA,Virginia,VA,47,34
19,WASHINGTON,Washington,WA,32,25
3,WEST VIRGINIA,West Virginia,WV,28,1
46,WISCONSIN,Wisconsin,WI,29,6
12,WYOMING,Wyoming,WY,41,38