name,parent,value
2010,2011,2012,2013,2014,2015,2016,2017,2018
BROOKLYN,2010,3399
MANHATTAN,2010,2867
BRONX,2010,2067
QUEENS,2010,1569
STATEN ISLAND,2010,632
BROOKLYN,2011,3671
MANHATTAN,2011,2461
BRONX,2011,2174
QUEENS,2011,1600
STATEN ISLAND,2011,548
BROOKLYN,2012,3600
MANHATTAN,2012,2857
BRONX,2012,2125
QUEENS,2012,1522
STATEN ISLAND,2012,538
BROOKLYN,2013,3300
MANHATTAN,2013,3018
BRONX,2013,2120
QUEENS,2013,1660
STATEN ISLAND,2013,641
BROOKLYN,2014,3968
MANHATTAN,2014,3541
BRONX,2014,2743
QUEENS,2014,1748
STATEN ISLAND,2014,617
BROOKLYN,2015,5264
MANHATTAN,2015,4124
BRONX,2015,3201
QUEENS,2015,2103
STATEN ISLAND,2015,594
BROOKLYN,2016,5979
MANHATTAN,2016,4610
BRONX,2016,3497
QUEENS,2016,2410
STATEN ISLAND,2016,734
BROOKLYN,2017,7253
MANHATTAN,2017,4507
BRONX,2017,3746
QUEENS,2017,2862
STATEN ISLAND,2017,784
BROOKLYN,2018,6565
MANHATTAN,2018,4295
BRONX,2018,3134
QUEENS,2018,2605
STATEN ISLAND,2018,745